Sno;Date;Province/State;Country;Last Update;Confirmed;Deaths;Recovered
83;01/23/2020 12:00:00;NA;Brazil;01/23/2020 12:00:00;0;0;0
118;01/24/2020 12:00:00;Chicago;US;01/24/2020 12:00:00;1;0;0
212;01/26/2020 23:00:00;NA;Australia;01/26/2020 23:00:00;4;0;0
264;01/27/2020 20:30:00;NA;Ivory Coast;01/27/2020 20:30:00;0;0;0
469;01/31/2020 19:00:00;Washington;US;01/31/2020 19:00:00;1;0;0
470;01/31/2020 19:00:00;Illinois;US;01/31/2020 19:00:00;2;0;0
471;01/31/2020 19:00:00;California;US;01/31/2020 19:00:00;3;0;0
472;01/31/2020 19:00:00;Arizona;US;01/31/2020 19:00:00;1;0;0
488;01/31/2020 19:00:00;Bavaria;Germany;01/31/2020 19:00:00;7;0;0
609;02/02/2020 21:00:00;Ontario;Canada;2020-01-02 18:12:00;3;0;0
1010;02/08/2020 23:04:00;Cruise Ship;Others;2020-07-02 16:33:00;61;0;0
1645;02/17/2020 22:00:00;Hubei;Mainland China;2020-02-17T23:13:06;59989;1789;7862
1646;02/17/2020 22:00:00;Guangdong;Mainland China;2020-02-17T12:43:02;1322;4;524
1647;02/17/2020 22:00:00;Henan;Mainland China;2020-02-17T14:53:02;1246;16;509
1648;02/17/2020 22:00:00;Zhejiang;Mainland China;2020-02-17T11:23:06;1171;0;507
1649;02/17/2020 22:00:00;Hunan;Mainland China;2020-02-17T11:43:01;1006;3;498
1650;02/17/2020 22:00:00;Anhui;Mainland China;2020-02-17T09:13:07;973;6;280
1651;02/17/2020 22:00:00;Jiangxi;Mainland China;2020-02-17T01:33:02;930;1;275
1652;02/17/2020 22:00:00;Jiangsu;Mainland China;2020-02-17T10:23:04;626;0;258
1653;02/17/2020 22:00:00;Chongqing;Mainland China;2020-02-17T23:13:06;553;5;225
1654;02/17/2020 22:00:00;Shandong;Mainland China;2020-02-17T11:03:06;541;2;191
1655;02/17/2020 22:00:00;Sichuan;Mainland China;2020-02-17T13:13:09;495;3;156
1656;02/17/2020 22:00:00;Heilongjiang;Mainland China;2020-02-17T08:03:06;457;11;85
1657;02/17/2020 22:00:00;Diamond Princess cruise ship;Others;2020-02-17T14:33:04;454;0;0
1658;02/17/2020 22:00:00;Beijing;Mainland China;2020-02-17T01:23:02;381;4;114
1659;02/17/2020 22:00:00;Shanghai;Mainland China;2020-02-17T23:53:02;333;1;161
1660;02/17/2020 22:00:00;Hebei;Mainland China;2020-02-17T13:03:06;301;3;122
1661;02/17/2020 22:00:00;Fujian;Mainland China;2020-02-17T10:23:04;290;0;90
1662;02/17/2020 22:00:00;Shaanxi;Mainland China;2020-02-17T11:43:01;240;0;79
1663;02/17/2020 22:00:00;Guangxi;Mainland China;2020-02-17T10:23:04;238;2;53
1664;02/17/2020 22:00:00;Yunnan;Mainland China;2020-02-17T10:23:04;171;0;47
1665;02/17/2020 22:00:00;Hainan;Mainland China;2020-02-17T11:03:06;163;4;59
1666;02/17/2020 22:00:00;Guizhou;Mainland China;2020-02-17T11:13:16;146;1;57
1667;02/17/2020 22:00:00;Shanxi;Mainland China;2020-02-17T22:53:01;130;0;53
1668;02/17/2020 22:00:00;Tianjin;Mainland China;2020-02-17T12:43:02;125;3;46
1669;02/17/2020 22:00:00;Liaoning;Mainland China;2020-02-17T11:13:16;121;1;43
1670;02/17/2020 22:00:00;Gansu;Mainland China;2020-02-17T14:53:02;91;2;58
1671;02/17/2020 22:00:00;Jilin;Mainland China;2020-02-17T11:03:06;89;1;34
1672;02/17/2020 22:00:00;NA;Singapore;2020-02-17T14:33:04;77;0;24
1673;02/17/2020 22:00:00;Xinjiang;Mainland China;2020-02-17T01:53:01;75;1;12
1674;02/17/2020 22:00:00;Inner Mongolia;Mainland China;2020-02-17T02:03:06;72;0;8
1675;02/17/2020 22:00:00;Ningxia;Mainland China;2020-02-17T11:03:06;70;0;35
1676;02/17/2020 22:00:00;NA;Japan;2020-02-17T14:33:04;66;1;12
1677;02/17/2020 22:00:00;Hong Kong;Hong Kong;2020-02-17T22:53:01;60;1;2
1678;02/17/2020 22:00:00;NA;Thailand;2020-02-17T07:33:02;35;0;15
1679;02/17/2020 22:00:00;NA;South Korea;2020-02-17T23:43:01;30;0;10
1680;02/17/2020 22:00:00;NA;Malaysia;2020-02-15T23:43:02;22;0;7
1681;02/17/2020 22:00:00;Taiwan;Taiwan;2020-02-17T15:43:02;22;1;2
1682;02/17/2020 22:00:00;Qinghai;Mainland China;2020-02-15T08:43:03;18;0;13
1683;02/17/2020 22:00:00;NA;Germany;2020-02-13T15:13:11;16;0;1
1684;02/17/2020 22:00:00;NA;Vietnam;2020-02-13T06:33:02;16;0;7
1685;02/17/2020 22:00:00;NA;France;2020-02-15T20:53:02;12;1;4
1686;02/17/2020 22:00:00;Macau;Macau;2020-02-16T12:03:06;10;0;5
1687;02/17/2020 22:00:00;NA;UK;2020-02-16T16:23:06;9;0;8
1688;02/17/2020 22:00:00;NA;United Arab Emirates;2020-02-16T20:43:02;9;0;4
1689;02/17/2020 22:00:00;Queensland;Australia;2020-02-09T19:33:02;5;0;0
1690;02/17/2020 22:00:00;British Columbia;Canada;2020-02-17T08:03:07;5;0;0
1691;02/17/2020 22:00:00;New South Wales;Australia;2020-02-13T17:53:03;4;0;4
1692;02/17/2020 22:00:00;Victoria;Australia;2020-02-13T17:53:03;4;0;4
1693;02/17/2020 22:00:00;NA;India;2020-02-16T07:43:02;3;0;3
1694;02/17/2020 22:00:00;NA;Italy;2020-02-07T17:53:02;3;0;0
1695;02/17/2020 22:00:00;NA;Philippines;2020-02-12T07:43:02;3;1;1
1696;02/17/2020 22:00:00;South Australia;Australia;2020-02-17T08:13:09;2;0;2
1697;02/17/2020 22:00:00;Toronto, ON;Canada;2020-02-04T00:13:06;2;0;0
1698;02/17/2020 22:00:00;NA;Russia;2020-02-12T14:43:03;2;0;2
1699;02/17/2020 22:00:00;NA;Spain;2020-02-15T17:23:04;2;0;2
1700;02/17/2020 22:00:00;Chicago, IL;US;2020-02-09T19:03:03;2;0;2
1701;02/17/2020 22:00:00;San Benito, CA;US;2020-02-03T03:53:02;2;0;0
1702;02/17/2020 22:00:00;San Diego County, CA;US;2020-02-13T03:13:08;2;0;0
1703;02/17/2020 22:00:00;Santa Clara, CA;US;2020-02-03T00:43:02;2;0;0
1704;02/17/2020 22:00:00;NA;Belgium;2020-02-17T04:23:06;1;0;1
1705;02/17/2020 22:00:00;NA;Cambodia;2020-02-12T07:43:02;1;0;1
1706;02/17/2020 22:00:00;London, ON;Canada;2020-02-12T18:53:03;1;0;1
1707;02/17/2020 22:00:00;NA;Egypt;2020-02-14T23:53:02;1;0;0
1708;02/17/2020 22:00:00;NA;Finland;2020-02-12T00:03:12;1;0;1
1709;02/17/2020 22:00:00;Tibet;Mainland China;2020-02-12T06:43:02;1;0;1
1710;02/17/2020 22:00:00;NA;Nepal;2020-02-12T14:43:03;1;0;1
1711;02/17/2020 22:00:00;NA;Sri Lanka;2020-02-08T03:43:03;1;0;1
1712;02/17/2020 22:00:00;NA;Sweden;2020-02-01T02:13:26;1;0;0
1713;02/17/2020 22:00:00;Boston, MA;US;2020-02-01T19:43:03;1;0;0
1714;02/17/2020 22:00:00;Los Angeles, CA;US;2020-02-01T19:53:03;1;0;0
1715;02/17/2020 22:00:00;Madison, WI;US;2020-02-05T21:53:02;1;0;0
1716;02/17/2020 22:00:00;Orange, CA;US;2020-02-01T19:53:03;1;0;0
1717;02/17/2020 22:00:00;San Antonio, TX;US;2020-02-13T18:53:02;1;0;0
1718;02/17/2020 22:00:00;Seattle, WA;US;2020-02-09T07:03:04;1;0;1
1719;02/17/2020 22:00:00;Tempe, AZ;US;2020-02-01T19:43:03;1;0;0
