hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,219,2017,June,23,9,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20,NULL,0,Transient,105,0,0,Canceled,2017-04-21
City Hotel,0,237,2017,July,27,5,0,4,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,61.68,0,1,Check-Out,2017-07-09
Resort Hotel,0,0,2017,January,1,3,0,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,NULL,154,0,Transient,35,0,0,Check-Out,2017-01-05
City Hotel,1,184,2017,August,35,31,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,112.5,0,0,Canceled,2017-07-18
City Hotel,0,8,2016,April,17,20,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,NULL,219,0,Transient,98,1,0,Check-Out,2016-04-21
Resort Hotel,0,78,2015,October,41,10,3,6,2,0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Transient,79.22,0,1,Check-Out,2015-10-19
Resort Hotel,0,37,2016,March,13,20,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,77.4,1,1,Check-Out,2016-03-25
Resort Hotel,1,32,2016,August,34,20,2,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,235.67,0,0,Canceled,2016-07-19
City Hotel,0,7,2017,August,31,3,0,1,1,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,9,NULL,0,Transient,119,0,0,Check-Out,2017-08-04
City Hotel,1,39,2015,August,33,14,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
Resort Hotel,0,87,2015,August,33,13,2,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,E,1,No Deposit,240,NULL,0,Transient,154,0,2,Check-Out,2015-08-18
City Hotel,0,71,2016,May,19,7,2,4,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,132.6,0,0,Check-Out,2016-05-13
Resort Hotel,0,126,2017,May,18,2,0,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,6,NULL,0,Transient,64.8,1,0,Check-Out,2017-05-04
City Hotel,1,212,2017,July,27,8,1,1,1,0,0,BB,KOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,107.1,0,2,Canceled,2017-06-06
City Hotel,1,13,2017,July,30,23,1,0,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,140,0,0,Canceled,2017-07-10
City Hotel,1,110,2017,April,17,29,2,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,102,0,0,Canceled,2017-01-09
Resort Hotel,0,5,2015,November,46,9,1,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,D,0,No Deposit,NULL,NULL,0,Transient,54,1,0,Check-Out,2015-11-11
Resort Hotel,0,0,2016,February,6,1,1,1,1,0,0,HB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,20,0,Transient,46,0,0,Check-Out,2016-02-03
City Hotel,0,62,2017,April,17,24,1,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,82.08,0,1,Check-Out,2017-04-28
City Hotel,0,127,2017,August,32,8,0,2,2,2,0,BB,CN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,83,NULL,0,Transient,217.3,0,0,Check-Out,2017-08-10
Resort Hotel,0,3,2017,January,3,17,0,1,1,0,0,Undefined,PRT,Groups,Direct,0,0,0,A,E,0,No Deposit,NULL,NULL,0,Transient-Party,55,1,0,Check-Out,2017-01-18
City Hotel,1,29,2016,February,8,20,2,4,1,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,73.42,0,0,No-Show,2016-02-20
Resort Hotel,1,224,2017,April,15,13,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,65.04,0,2,Canceled,2016-09-05
City Hotel,1,328,2015,September,37,10,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Contract,62,0,0,Canceled,2015-01-01
City Hotel,0,10,2016,August,35,22,1,4,3,0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7,NULL,0,Transient,160.16,0,1,Check-Out,2016-08-27
Resort Hotel,0,0,2015,October,43,21,0,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,I,0,No Deposit,240,NULL,0,Transient,0,0,2,Check-Out,2015-10-21
City Hotel,0,11,2015,December,50,11,0,2,2,1,1,BB,PRT,Complementary,Direct,0,0,0,G,G,0,No Deposit,NULL,NULL,0,Transient,0,0,3,Check-Out,2015-12-13
Resort Hotel,0,1,2016,February,7,9,0,1,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,339,NULL,0,Transient,39.15,0,0,Check-Out,2016-02-10
City Hotel,0,133,2017,April,16,19,0,4,2,0,0,BB,ISL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,390,NULL,0,Transient-Party,124,0,0,Check-Out,2017-04-23
City Hotel,0,31,2016,June,27,30,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,156.15,1,1,Check-Out,2016-07-04
Resort Hotel,1,8,2017,March,9,3,1,2,2,0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,2,No Deposit,NULL,223,0,Transient-Party,47,0,0,No-Show,2017-03-03
City Hotel,1,26,2017,February,8,25,2,2,2,1,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,198,0,2,Canceled,2017-01-31
City Hotel,1,150,2016,June,25,16,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12,NULL,0,Transient-Party,96,0,0,Canceled,2016-05-16
Resort Hotel,0,78,2017,April,14,6,0,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,F,0,No Deposit,40,NULL,0,Contract,50.85,0,0,Check-Out,2017-04-09
City Hotel,1,7,2016,June,25,12,4,6,2,2,0,BB,SAU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,213,0,0,Canceled,2016-06-05
City Hotel,0,57,2015,October,41,10,2,1,2,0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,E,1,No Deposit,11,NULL,0,Transient,78.69,0,1,Check-Out,2015-10-13
Resort Hotel,1,315,2016,December,53,30,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,54,0,0,Canceled,2016-06-06
City Hotel,1,4,2016,February,6,2,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,79,0,0,Canceled,2016-02-02
City Hotel,0,2,2017,February,9,27,1,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,74.8,0,0,Check-Out,2017-03-03
Resort Hotel,0,92,2015,September,38,13,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,NULL,0,Transient,99,0,2,Check-Out,2015-09-20
City Hotel,0,66,2016,November,46,7,1,3,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,179.1,0,2,Check-Out,2016-11-11
Resort Hotel,0,49,2015,August,35,25,0,3,2,0,1,HB,USA,Offline TA/TO,TA/TO,0,0,0,E,F,0,No Deposit,142,NULL,0,Transient,177.47,1,2,Check-Out,2015-08-28
City Hotel,0,11,2016,October,41,3,1,0,1,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,144,0,2,Check-Out,2016-10-04
City Hotel,1,44,2015,September,37,10,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,41,NULL,0,Transient,126,0,0,Canceled,2015-08-17
Resort Hotel,1,110,2017,April,17,29,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,85,0,0,Canceled,2017-03-03
City Hotel,0,273,2015,July,29,17,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,109,0,0,Check-Out,2015-07-19
City Hotel,1,63,2016,April,15,8,2,2,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,112.2,0,0,Canceled,2016-03-04
City Hotel,1,56,2017,February,5,1,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,NULL,0,Transient,60,0,0,Canceled,2016-12-07
City Hotel,1,239,2016,June,25,15,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6,NULL,80,Transient,112.2,0,0,Canceled,2016-01-08
City Hotel,0,12,2015,September,39,22,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,NULL,NULL,0,Transient,85,0,1,Check-Out,2015-09-24
Resort Hotel,0,0,2016,January,4,18,1,0,2,0,0,BB,NULL,Direct,Direct,0,0,0,A,D,0,No Deposit,NULL,NULL,0,Transient,44,0,0,Check-Out,2016-01-19
City Hotel,0,97,2016,April,16,16,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,102.3,0,0,Check-Out,2016-04-19
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,2016-01-16
City Hotel,0,5,2016,December,52,20,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,105,0,1,Check-Out,2016-12-21
City Hotel,1,323,2015,September,36,5,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Canceled,2015-07-06
City Hotel,1,10,2015,September,37,12,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Contract,136.14,0,2,Canceled,2015-09-03
City Hotel,0,31,2016,May,20,13,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16,NULL,0,Transient,105.3,0,0,Check-Out,2016-05-15
City Hotel,0,18,2017,July,27,8,1,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,2,No Deposit,14,NULL,0,Transient-Party,195,0,2,Check-Out,2017-07-10
City Hotel,0,53,2017,March,13,30,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,NULL,0,Transient,91.47,0,1,Check-Out,2017-04-02
City Hotel,1,341,2015,September,39,23,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient-Party,62,0,0,Canceled,2015-07-02
City Hotel,0,11,2016,February,6,6,2,1,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,81,0,1,Check-Out,2016-02-09
Resort Hotel,0,212,2017,August,33,17,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient-Party,153.75,0,0,Check-Out,2017-08-21
City Hotel,0,222,2017,March,11,18,0,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,115.2,1,2,Check-Out,2017-03-19
City Hotel,0,37,2015,September,38,16,0,2,2,0,0,BB,NZL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,94.5,0,0,Check-Out,2015-09-18
City Hotel,0,39,2015,August,33,14,0,2,1,0,0,HB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6,NULL,0,Transient-Party,87,0,0,Check-Out,2015-08-16
Resort Hotel,1,14,2017,May,21,26,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,150,0,1,Canceled,2017-05-12
City Hotel,0,11,2016,December,53,27,0,1,2,2,0,BB,USA,Direct,Direct,0,0,0,F,F,1,No Deposit,NULL,NULL,0,Transient,209,0,0,Check-Out,2016-12-28
Resort Hotel,0,149,2016,June,23,4,4,10,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,143,NULL,0,Transient,62.9,0,0,Check-Out,2016-06-18
City Hotel,0,266,2016,October,45,30,2,2,3,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,117.3,0,2,Check-Out,2016-11-03
City Hotel,1,117,2015,August,31,1,2,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,NULL,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
City Hotel,1,21,2016,April,18,28,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,NULL,0,Transient,95,0,0,Canceled,2016-04-16
City Hotel,1,96,2016,April,15,8,0,1,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,90.9,0,1,Canceled,2016-03-17
City Hotel,0,74,2015,September,38,18,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,109,0,0,Check-Out,2015-09-20
Resort Hotel,0,13,2017,April,15,9,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,196,NULL,0,Transient-Party,117,0,1,Check-Out,2017-04-13
City Hotel,1,82,2017,July,28,15,2,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,150,0,1,Canceled,2017-04-24
Resort Hotel,1,27,2017,May,20,18,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,331,0,Transient,69,0,0,Canceled,2017-05-02
City Hotel,0,208,2017,August,31,2,0,1,2,0,0,HB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30,NULL,0,Transient-Party,157,0,1,Check-Out,2017-08-03
Resort Hotel,0,79,2015,September,39,25,2,3,2,0,0,BB,IRL,Direct,Direct,0,0,0,D,D,0,No Deposit,250,NULL,0,Transient,89,0,1,Check-Out,2015-09-30
Resort Hotel,0,26,2015,November,45,7,2,6,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,2,No Deposit,250,NULL,0,Transient,56,0,1,Check-Out,2015-11-15
City Hotel,0,3,2016,September,39,22,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,NULL,308,0,Transient,166.25,0,0,Check-Out,2016-09-23
City Hotel,1,38,2017,January,2,14,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,NULL,67,0,Transient,75,0,0,Canceled,2016-12-07
City Hotel,1,94,2016,March,10,4,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,154,NULL,28,Transient,80,0,0,Canceled,2015-12-29
City Hotel,1,52,2017,April,15,11,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,100.8,0,1,Canceled,2017-03-19
City Hotel,0,8,2015,December,51,15,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,NULL,0,Transient-Party,58,0,1,Check-Out,2015-12-18
City Hotel,0,4,2017,July,27,3,1,0,1,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,98,0,1,Check-Out,2017-07-04
City Hotel,1,10,2016,July,29,16,0,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,169,0,1,Canceled,2016-07-14
City Hotel,1,169,2017,June,23,8,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19,NULL,0,Transient,170,0,0,Canceled,2016-12-21
City Hotel,0,4,2016,July,29,11,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,151,0,2,Check-Out,2016-07-12
Resort Hotel,1,36,2015,August,32,4,0,3,1,0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NULL,0,Transient,221,0,0,Canceled,2015-07-29
City Hotel,0,155,2017,April,16,19,0,4,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,390,NULL,22,Transient-Party,124,0,0,Check-Out,2017-04-23
City Hotel,0,62,2016,March,14,28,1,3,2,1,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,NULL,0,Transient,101.15,0,2,Check-Out,2016-04-01
City Hotel,1,161,2016,March,13,25,1,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,12,NULL,101,Transient,130,0,0,Canceled,2016-02-10
City Hotel,0,206,2016,August,32,5,0,1,2,2,0,HB,GBR,Direct,Direct,0,0,0,G,G,1,No Deposit,14,NULL,0,Transient,309.5,1,0,Check-Out,2016-08-06
Resort Hotel,0,1,2016,December,52,19,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,59,1,1,Check-Out,2016-12-20
City Hotel,0,0,2016,January,3,12,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,50,0,0,Check-Out,2016-01-13
City Hotel,1,80,2016,July,27,1,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,NULL,0,Transient,98.41,0,0,Canceled,2016-06-10
City Hotel,0,5,2015,October,44,31,2,1,2,0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,105.33,0,0,Check-Out,2015-11-03
City Hotel,1,140,2017,May,20,19,0,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,162,0,1,Canceled,2017-01-11
City Hotel,1,372,2016,July,29,14,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,NULL,0,Transient,62,0,0,Canceled,2015-10-21
City Hotel,0,0,2016,October,44,29,1,1,2,0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,140,0,2,Check-Out,2016-10-31
City Hotel,1,9,2016,September,38,15,0,2,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,149,0,1,Canceled,2016-09-08
Resort Hotel,1,20,2015,November,48,23,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,58,0,0,Canceled,2015-11-11
City Hotel,1,3,2016,September,38,12,1,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Transient,170,0,0,Canceled,2016-09-09
City Hotel,1,352,2017,May,21,24,0,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,99,0,0,Canceled,2016-06-19
City Hotel,1,301,2016,November,47,18,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20,NULL,0,Transient,52,0,0,Canceled,2016-03-15
Resort Hotel,1,336,2017,May,20,17,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,54.86,0,1,Canceled,2017-01-24
City Hotel,0,0,2016,March,12,14,1,2,1,0,0,BB,PRT,Corporate,Corporate,1,2,26,A,A,0,No Deposit,NULL,40,0,Transient-Party,65,0,0,Check-Out,2016-03-17
City Hotel,0,19,2017,July,30,28,1,2,1,0,0,SC,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,136,0,1,Check-Out,2017-07-31
City Hotel,0,139,2016,June,25,15,0,3,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,116.1,0,2,Check-Out,2016-06-18
City Hotel,0,190,2016,September,40,30,2,7,2,0,0,BB,ISL,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient,110.9,0,0,Check-Out,2016-10-09
City Hotel,1,88,2016,July,31,24,1,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,105.3,0,0,Canceled,2016-05-05
City Hotel,0,3,2016,September,39,22,0,1,2,0,0,BB,MEX,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,313,0,Transient,194,0,2,Check-Out,2016-09-23
City Hotel,0,18,2015,September,40,27,2,1,1,0,0,BB,CHE,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,NULL,0,Transient-Party,170,0,0,Check-Out,2015-09-30
Resort Hotel,0,47,2015,October,43,19,1,4,2,0,0,HB,ESP,Groups,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,47,Transient-Party,76.8,0,0,Check-Out,2015-10-24
City Hotel,0,13,2016,May,23,29,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,94.35,0,1,Check-Out,2016-05-30
City Hotel,0,0,2015,August,33,11,0,1,2,0,0,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,NULL,49,0,Transient-Party,99,0,1,Check-Out,2015-08-12
City Hotel,0,56,2015,September,38,17,0,2,2,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20,NULL,0,Transient-Party,82,0,0,Check-Out,2015-09-19
City Hotel,0,1,2016,March,11,8,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,90,0,0,Check-Out,2016-03-09
City Hotel,0,16,2015,July,30,25,2,1,2,0,0,HB,ITA,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1,NULL,0,Transient-Party,86,0,0,Check-Out,2015-07-28
