edad,sexo,alfabeto,sistema_salud,nivel_educativo,ocupacion_jerarquia,estado_civil,ingreso_15k
28,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
65,hombre,Si,No paga ni le descuentan,Superior Universitaria Incompleta,Cuenta propia,1,no
54,mujer,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,no
59,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,2,no
29,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,si
62,mujer,Si,Mutual / Prepaga / Servicio de emergencia,Superior Universitaria Completa,Cuenta propia,2,si
35,hombre,Si,No paga ni le descuentan,Superior Universitaria Completa,Cuenta propia,3,no
39,mujer,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Completa,Cuenta propia,4,si
33,mujer,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,2,no
31,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,si
31,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
33,hombre,Si,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,4,no
64,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,si
66,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
57,mujer,Si,Mutual / Prepaga / Servicio de emergencia,Superior Universitaria Completa,Director,1,si
47,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Secundaria Completa,Cuenta propia,1,si
38,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Superior Universitaria Completa,Cuenta propia,1,si
48,hombre,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,1,si
54,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,2,no
22,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,3,no
64,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Director,1,si
44,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
75,hombre,Si,Obra social (incluye PAMI),Primaria Incompleta(incluye educación especial),Cuenta propia,1,no
43,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Secundaria Completa,Cuenta propia,3,si
44,mujer,Si,No paga ni le descuentan,Superior Universitaria Completa,Cuenta propia,3,no
60,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,2,no
NA,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Director,1,no
48,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Director,2,si
45,hombre,Si,Obra social y mutual/prepaga/servicio de emergencia.,Secundaria Completa,Cuenta propia,4,si
63,mujer,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,5,no
36,mujer,Si,No paga ni le descuentan,Superior Universitaria Incompleta,Cuenta propia,3,no
56,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,si
51,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,3,no
63,hombre,Si,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,3,no
62,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,4,no
56,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,2,no
25,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,no
57,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,1,si
22,mujer,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Incompleta,Cuenta propia,3,no
33,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Director,1,no
33,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,4,no
56,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,2,si
44,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,3,si
41,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
32,hombre,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Incompleta,Cuenta propia,1,si
41,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,si
39,mujer,Si,No paga ni le descuentan,Superior Universitaria Completa,Cuenta propia,1,si
55,hombre,Si,No paga ni le descuentan,Primaria Completa,Director,4,si
62,mujer,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,1,no
51,hombre,Si,No paga ni le descuentan,Secundaria Completa,Director,1,si
62,hombre,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,4,no
22,mujer,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,4,no
24,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,3,no
62,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,3,no
64,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,no
23,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,3,no
60,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,2,no
27,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,1,si
60,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,4,no
41,hombre,Si,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,4,no
56,hombre,Si,No paga ni le descuentan,NA,Cuenta propia,2,no
40,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,4,si
48,mujer,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,2,no
67,mujer,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,3,no
53,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Secundaria Incompleta,Cuenta propia,1,si
59,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
62,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Superior Universitaria Incompleta,Cuenta propia,1,si
48,mujer,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,no
67,hombre,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,1,si
46,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,2,no
34,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
35,mujer,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
35,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,3,si
52,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
63,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,2,no
43,hombre,Si,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,1,no
45,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
32,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,3,no
52,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,4,no
28,mujer,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,no
35,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
53,hombre,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Completa,Cuenta propia,1,si
42,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,4,si
42,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,4,no
65,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,2,no
56,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,1,no
35,mujer,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,1,no
50,mujer,Si,Mutual / Prepaga / Servicio de emergencia,Secundaria Incompleta,Cuenta propia,4,si
51,hombre,Si,Obra social y mutual/prepaga/servicio de emergencia.,Secundaria Completa,Cuenta propia,3,si
NA,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,2,no
63,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,no
28,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,4,si
32,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,no
38,mujer,Si,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,3,no
41,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,3,no
46,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,2,si
54,hombre,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Completa,Director,4,no
62,mujer,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,2,no
34,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
29,mujer,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
64,hombre,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,1,no
48,mujer,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Completa,Cuenta propia,4,si
60,hombre,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,1,si
45,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,2,si
49,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,si
52,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
53,mujer,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,no
40,hombre,Si,No paga ni le descuentan,NA,Cuenta propia,2,no
45,mujer,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Incompleta,Cuenta propia,4,si
62,mujer,No,Obra social (incluye PAMI),Sin instrucción,Cuenta propia,1,no
25,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,3,no
39,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,1,no
58,mujer,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,1,no
41,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Superior Universitaria Incompleta,Cuenta propia,1,no
35,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,4,no
33,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,no
47,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,3,no
56,mujer,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,no
46,hombre,Si,Obra social y mutual/prepaga/servicio de emergencia.,Secundaria Completa,Cuenta propia,4,si
48,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,no
27,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,si
61,hombre,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Completa,Cuenta propia,2,si
41,mujer,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Completa,Director,4,si
33,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Trabajador asalariado,4,no
57,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,2,no
30,mujer,Si,No paga ni le descuentan,Superior Universitaria Incompleta,Cuenta propia,3,no
37,mujer,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,no
37,mujer,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,3,no
56,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,3,si
64,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Director,1,si
47,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Director,1,si
62,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,si
31,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Trabajador asalariado,1,si
32,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,3,no
56,mujer,Si,Mutual / Prepaga / Servicio de emergencia,Primaria Completa,Cuenta propia,1,no
47,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,2,no
28,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Superior Universitaria Completa,Cuenta propia,4,no
41,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
21,mujer,Si,Mutual / Prepaga / Servicio de emergencia,Secundaria Completa,Cuenta propia,3,no
42,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,1,no
74,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,5,no
52,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
44,hombre,Si,No paga ni le descuentan,Superior Universitaria Completa,Cuenta propia,4,si
40,mujer,Si,No paga ni le descuentan,Superior Universitaria Completa,Cuenta propia,3,no
73,mujer,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,5,no
34,mujer,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,no
69,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
57,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
53,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
43,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,4,si
42,mujer,Si,No paga ni le descuentan,Superior Universitaria Completa,Cuenta propia,4,no
42,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Director,3,si
48,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
66,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,si
33,hombre,Si,No paga ni le descuentan,Superior Universitaria Incompleta,Cuenta propia,3,no
37,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,si
57,mujer,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,5,no
60,mujer,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,2,no
26,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,4,no
58,hombre,Si,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,2,no
NA,hombre,Si,No paga ni le descuentan,Superior Universitaria Completa,Cuenta propia,2,no
32,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
27,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,4,si
34,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
69,hombre,Si,Obra social (incluye PAMI),NA,Cuenta propia,4,no
34,hombre,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,4,no
26,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,no
35,mujer,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,si
40,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
42,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,3,si
49,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,2,no
39,mujer,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Completa,Cuenta propia,3,si
32,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,3,no
19,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,3,no
53,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
23,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,3,no
25,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,3,no
61,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Primaria Completa,Cuenta propia,3,no
47,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,2,no
63,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,2,si
29,mujer,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Completa,Director,4,si
45,mujer,Si,Obra social y mutual/prepaga/servicio de emergencia.,Superior Universitaria Completa,Cuenta propia,2,no
34,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,1,si
57,hombre,Si,Obra social y mutual/prepaga/servicio de emergencia.,Secundaria Completa,Cuenta propia,2,si
53,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,2,no
17,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,3,si
48,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Director,1,si
NA,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Director,1,si
24,mujer,Si,No paga ni le descuentan,Superior Universitaria Incompleta,Cuenta propia,3,no
27,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,4,no
60,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,1,no
NA,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,3,no
46,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,3,si
35,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,no
29,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Primaria Completa,Director,4,si
30,mujer,Si,Mutual / Prepaga / Servicio de emergencia,Secundaria Completa,Cuenta propia,3,no
42,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Director,4,si
19,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,3,no
45,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,2,no
40,hombre,Si,No paga ni le descuentan,Superior Universitaria Incompleta,Cuenta propia,3,no
42,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,si
47,mujer,Si,Obra social (incluye PAMI),Secundaria Incompleta,Director,2,si
27,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,si
57,mujer,Si,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,2,no
22,hombre,Si,No paga ni le descuentan,Superior Universitaria Incompleta,Cuenta propia,4,no
51,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
45,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,2,si
30,hombre,Si,No paga ni le descuentan,Superior Universitaria Completa,Cuenta propia,4,no
44,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,no
40,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
36,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
38,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,3,no
47,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,4,no
17,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,3,no
39,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,3,no
46,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,4,no
57,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,1,no
55,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,4,si
40,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,1,no
62,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Director,2,no
46,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,3,si
40,mujer,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,no
42,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
25,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,3,no
40,mujer,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,4,no
54,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Director,5,si
39,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
47,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Secundaria Incompleta,Cuenta propia,4,si
75,hombre,Si,Obra social (incluye PAMI),Sin instrucción,Cuenta propia,5,no
37,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,2,no
38,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,si
55,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,3,no
54,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,4,si
36,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,3,no
37,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,no
36,mujer,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,1,no
41,mujer,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,2,no
54,mujer,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,5,no
53,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Director,1,si
68,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
63,mujer,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,2,no
40,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
41,hombre,Si,No paga ni le descuentan,Superior Universitaria Completa,Director,3,no
37,mujer,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,no
65,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
32,mujer,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,3,no
61,mujer,Si,Obra social (incluye PAMI),Secundaria Incompleta,Director,5,no
44,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Director,1,no
35,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,3,no
18,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,3,no
29,mujer,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,3,no
36,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,4,no
48,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Primaria Completa,Director,1,si
59,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,si
55,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
35,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,1,si
44,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,4,no
41,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,4,no
44,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,1,no
37,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,1,no
53,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,si
64,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,no
